player_id,username,password,display_name,country
p00001,user1,password,Player 1,USA
p00002,user2,password,Player 2,USA
p00003,user3,password,Player 3,USA
p00004,user4,password,Player 4,USA
p00005,user5,password,Player 5,USA
p00006,user6,password,Player 6,USA
p00007,user7,password,Player 7,USA
p00008,user8,password,Player 8,USA
p00009,user9,password,Player 9,USA
p00010,user10,password,Player 10,USA
p00011,user11,password,Player 11,USA
p00012,user12,password,Player 12,USA
p00013,user13,password,Player 13,USA
p00014,user14,password,Player 14,USA
p00015,user15,password,Player 15,USA
p00016,user16,password,Player 16,USA
p00017,user17,password,Player 17,USA
p00018,user18,password,Player 18,USA
p00019,user19,password,Player 19,USA
p00020,user20,password,Player 20,USA
p00021,user21,password,Player 21,USA
p00022,user22,password,Player 22,USA
p00023,user23,password,Player 23,USA
p00024,user24,password,Player 24,USA
p00025,user25,password,Player 25,USA
p00026,user26,password,Player 26,USA
p00027,user27,password,Player 27,USA
p00028,user28,password,Player 28,USA
p00029,user29,password,Player 29,USA
p00030,user30,password,Player 30,USA
p00031,user31,password,Player 31,USA
p00032,user32,password,Player 32,USA
p00033,user33,password,Player 33,USA
p00034,user34,password,Player 34,USA
p00035,user35,password,Player 35,USA
p00036,user36,password,Player 36,USA
p00037,user37,password,Player 37,USA
p00038,user38,password,Player 38,USA
p00039,user39,password,Player 39,USA
p00040,user40,password,Player 40,USA
p00041,user41,password,Player 41,USA
p00042,user42,password,Player 42,USA
p00043,user43,password,Player 43,USA
p00044,user44,password,Player 44,USA
p00045,user45,password,Player 45,USA
p00046,user46,password,Player 46,USA
p00047,user47,password,Player 47,USA
p00048,user48,password,Player 48,USA
p00049,user49,password,Player 49,USA
p00050,user50,password,Player 50,USA
p00051,user51,password,Player 51,USA
p00052,user52,password,Player 52,USA
p00053,user53,password,Player 53,USA
p00054,user54,password,Player 54,USA
p00055,user55,password,Player 55,USA
p00056,user56,password,Player 56,USA
p00057,user57,password,Player 57,USA
p00058,user58,password,Player 58,USA
p00059,user59,password,Player 59,USA
p00060,user60,password,Player 60,USA
p00061,user61,password,Player 61,USA
p00062,user62,password,Player 62,USA
p00063,user63,password,Player 63,USA
p00064,user64,password,Player 64,USA
p00065,user65,password,Player 65,USA
p00066,user66,password,Player 66,USA
p00067,user67,password,Player 67,USA
p00068,user68,password,Player 68,USA
p00069,user69,password,Player 69,USA
p00070,user70,password,Player 70,USA
p00071,user71,password,Player 71,USA
p00072,user72,password,Player 72,USA
p00073,user73,password,Player 73,USA
p00074,user74,password,Player 74,USA
p00075,user75,password,Player 75,USA
p00076,user76,password,Player 76,USA
p00077,user77,password,Player 77,USA
p00078,user78,password,Player 78,USA
p00079,user79,password,Player 79,USA
p00080,user80,password,Player 80,USA
p00081,user81,password,Player 81,USA
p00082,user82,password,Player 82,USA
p00083,user83,password,Player 83,USA
p00084,user84,password,Player 84,USA
p00085,user85,password,Player 85,USA
p00086,user86,password,Player 86,USA
p00087,user87,password,Player 87,USA
p00088,user88,password,Player 88,USA
p00089,user89,password,Player 89,USA
p00090,user90,password,Player 90,USA
p00091,user91,password,Player 91,USA
p00092,user92,password,Player 92,USA
p00093,user93,password,Player 93,USA
p00094,user94,password,Player 94,USA
p00095,user95,password,Player 95,USA
p00096,user96,password,Player 96,USA
p00097,user97,password,Player 97,USA
p00098,user98,password,Player 98,USA
p00099,user99,password,Player 99,USA
p00100,user100,password,Player 100,USA
p00101,user101,password,Player 101,USA
p00102,user102,password,Player 102,USA
p00103,user103,password,Player 103,USA
p00104,user104,password,Player 104,USA
p00105,user105,password,Player 105,USA
p00106,user106,password,Player 106,USA
p00107,user107,password,Player 107,USA
p00108,user108,password,Player 108,USA
p00109,user109,password,Player 109,USA
p00110,user110,password,Player 110,USA
p00111,user111,password,Player 111,USA
p00112,user112,password,Player 112,USA
p00113,user113,password,Player 113,USA
p00114,user114,password,Player 114,USA
p00115,user115,password,Player 115,USA
p00116,user116,password,Player 116,USA
p00117,user117,password,Player 117,USA
p00118,user118,password,Player 118,USA
p00119,user119,password,Player 119,USA
p00120,user120,password,Player 120,USA
p00121,user121,password,Player 121,USA
p00122,user122,password,Player 122,USA
p00123,user123,password,Player 123,USA
p00124,user124,password,Player 124,USA
p00125,user125,password,Player 125,USA
p00126,user126,password,Player 126,USA
p00127,user127,password,Player 127,USA
p00128,user128,password,Player 128,USA
p00129,user129,password,Player 129,USA
p00130,user130,password,Player 130,USA
p00131,user131,password,Player 131,USA
p00132,user132,password,Player 132,USA
p00133,user133,password,Player 133,USA
p00134,user134,password,Player 134,USA
p00135,user135,password,Player 135,USA
p00136,user136,password,Player 136,USA
p00137,user137,password,Player 137,USA
p00138,user138,password,Player 138,USA
p00139,user139,password,Player 139,USA
p00140,user140,password,Player 140,USA
p00141,user141,password,Player 141,USA
p00142,user142,password,Player 142,USA
p00143,user143,password,Player 143,USA
p00144,user144,password,Player 144,USA
p00145,user145,password,Player 145,USA
p00146,user146,password,Player 146,USA
p00147,user147,password,Player 147,USA
p00148,user148,password,Player 148,USA
p00149,user149,password,Player 149,USA
p00150,user150,password,Player 150,USA
p00151,user151,password,Player 151,USA
p00152,user152,password,Player 152,USA
p00153,user153,password,Player 153,USA
p00154,user154,password,Player 154,USA
p00155,user155,password,Player 155,USA
p00156,user156,password,Player 156,USA
p00157,user157,password,Player 157,USA
p00158,user158,password,Player 158,USA
p00159,user159,password,Player 159,USA
p00160,user160,password,Player 160,USA
